Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Origin,Associated Types,River Basin,Start Date,End Date,Duration
Flood,Flood (General),DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Duarte, El Seibo, Espaillat, Hato Mayor, La Altagracia, Maria Trinidad Sanches, Puerto Plata, Samanà",Heavy rain,,,2024-11-10,2024-11-12,2
Flood,Flood (General),HTI,Haiti,Latin America and the Caribbean,Americas,"Les Cayes, Torbeck, Saint-Louis-du-Sud, Maniche and Port-Salut municipalities",Heavy rains,,,2024-11-10,2024-11-12,2
Flood,Flood (General),ESP,Spain,Southern Europe,Europe,"Alaquàs, Albal, Aldaya, Alfafar, Algemesí, Benerússer, Catarroja, Llocnou de la Corona, Massanassa, Paiporta, Picanya, Sedaví, Utiel and La Torre municipalties (Valencia);, Letur, lbacete provinces; Castilla-La Mancha communities, Andalusia, Murcia, and the Balearic Islands, Catalonia",High-altitude isolated depression (DANA in Spanish),Lightening|Storm,,2024-10-27,2024-11-04,8
Flood,Flood (General),ZAF,South Africa,Sub-Saharan Africa,Africa,Eastern Cape province,Heavy rains,,,2024-10-22,2024-10-25,3
Flood,Flash flood,USA,United States of America,Northern America,Americas,"Roswell (Chaves county, Eastern New Mexico)",Heavy rains,,,2024-10-18,2024-10-20,2
Flood,Flood (General),FRA,France,Western Europe,Europe,"Rhône, Loire, Haute-Loire, Lozère, Ardèche, Alpes-Maritimes, Paris area",Heavy rains,,,2024-10-17,2024-10-18,1
Flood,Flood (General),BGD,Bangladesh,Southern Asia,Asia,Sherpur district (Mymensingh and Sindh divisions),Heavy rains,,,2024-10-05,2024-10-10,5
Flood,Flood (General),IND,India,Southern Asia,Asia,Meghalaya,Heavy rains,"Slide (land, mud, snow, rock)",,2024-10-04,2024-10-07,3
Flood,Flood (General),BIH,Bosnia and Herzegovina,Southern Europe,Europe,"Donja Jablanica, Konjic, Buturovic polje, Fojnica, Kiseljak and Kreševo",Heavy rains,"Slide (land, mud, snow, rock)",Neretva River,2024-10-03,2024-10-04,1
Flood,Flash flood,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Jiroft (Kerman province),,,Halil river,2024-09-30,2024-10-02,2
Flood,Flood (General),NPL,Nepal,Southern Asia,Asia,"Kathmandu, Kavrepalanchowk, Lalitpur, Bagmati, Gandak",Heavy rains,"Slide (land, mud, snow, rock)",,2024-09-26,2024-10-08,12
Flood,Flood (General),SLE,Sierra Leone,Sub-Saharan Africa,Africa,"Bumbuna dam in Bumbuna town (Tonkolili District, Northern province), Bo, Bonthe, Bombali, Falaba, Kambia, Moyamba, Port Loko, Pujehun, and the Western Area districts",Heavy rains,,,2024-09-23,2024-10-08,15
Flood,Flood (General),NGA,Nigeria,Sub-Saharan Africa,Africa,Maiduguri (Borno state),Heavy rains,Broken Dam/Burst bank,,2024-09-07,2024-09-09,2
